id;number;stage;area_m2;price_total_clp;reservation_amount_clp;status;reserved_until;reserved_at;reserved_by;order_id;updated_at;cuotas;pie;valor_cuota;last_installment_amount
59;10;2;200;35990000;500000;reserved;2026-02-25 23:52:41.696;2026-02-25 23:50:41.696;session_1772063302958_i76qdkyu4;ALM592063441696;2026-02-25 23:50:41.696;64;1000000;550000;340000
188;57;4;390;43990000;500000;reserved;2026-02-26 05:24:47.109;2026-02-26 05:22:47.109;session_1772083339665_d82w4pi7b;ALM1882083367109;2026-02-26 05:22:47.109;77;2000000;550000;190000
66;17;2;200;35990000;500000;reserved;2026-02-26 22:07:18.235;2026-02-26 22:05:18.235;session_1772143488415_nsanxnf2v;ALM662143518235;2026-02-26 22:05:18.235;64;1000000;550000;340000
182;51;4;390;44990000;500000;available;;;;;2026-02-11 17:46:24.61;76;3500000;550000;240000
184;53;4;390;44990000;500000;available;;;;;2026-02-11 17:46:24.617;76;3500000;550000;240000
186;55;4;390;44990000;500000;available;;;;;2026-02-11 17:46:24.625;76;3500000;550000;240000
190;59;4;390;44990000;500000;available;;;;ALM1909850262898;2026-02-11 17:46:24.638;76;3500000;550000;240000
191;60;4;390;44990000;500000;available;;;;ALM1910557003518;2026-02-11 17:46:24.641;76;3500000;550000;240000
36;36;1;390;43990000;500000;sold;2026-02-24 21:37:50.819;2026-02-24 21:35:50.819;session_1771968864250_zqdcyndtu;ALM361968950819;2026-03-10 21:28:39.373;77;2000000;550000;190000
192;61;4;390;44990000;500000;available;;;;ALM1920479929133;2026-02-11 17:46:24.644;76;3500000;550000;240000
195;64;4;390;44990000;500000;available;;;;;2026-02-11 17:46:24.652;76;3500000;550000;240000
8;8;1;200;18890000;500000;sold;;;;;2026-03-06 20:08:28.987;23;7100000;500000;290000
42;42;1;390;35900000;200000;sold;;;;;2026-03-06 21:02:57.935;56;5300000;550000;150000
46;46;1;390;35900000;200000;sold;;;;;2026-03-06 21:03:56.901;52;7500000;550000;350000
2;2;1;200;27700000;200000;sold;;;;;2026-03-06 21:04:54.982;41;5300000;550000;400000
81;32;2;390;44990000;500000;available;;;;;2026-02-11 17:46:24.184;76;3500000;550000;240000
193;62;4;390;44990000;500000;available;;;;ALM1939885844499;2026-02-11 17:46:24.647;76;3500000;550000;240000
194;63;4;390;44990000;500000;available;;;;ALM1940727262042;2026-02-11 17:46:24.649;76;3500000;550000;240000
129;37;3;390;44990000;500000;available;;;;ALM1290127863942;2026-02-11 17:46:24.403;76;3500000;550000;240000
174;43;4;308.84;44990000;500000;available;;;;ALM1740079872289;2026-02-11 17:46:24.579;76;3500000;550000;240000
127;35;3;390;44990000;500000;available;;;;;2026-02-11 17:46:24.395;76;3500000;550000;240000
28;28;1;344.2;43990000;500000;sold;;;;;2026-02-16 05:20:38.784;77;2000000;550000;190000
92;43;2;390;43990000;500000;sold;2026-03-02 18:01:36.667;2026-03-02 17:59:36.667;session_1772474288012_o1qd0mxaq;ALM922474376667;2026-03-12 20:44:41.34;77;2000000;550000;190000
49;40;3;390;43990000;500000;sold;2026-03-04 17:15:12.642;2026-03-04 17:13:12.642;session_1772643847184_jofhg9lxr;ALM492644392642;2026-03-04 17:15:47.095;77;2000000;550000;190000
185;54;4;390;44990000;500000;available;;;;ALM1850082568881;2026-02-11 17:46:24.621;76;3500000;550000;240000
79;30;2;361.08;44990000;500000;available;;;;;2026-02-11 17:46:24.169;76;3500000;550000;240000
37;37;1;390;35900000;200000;sold;;2026-02-03 01:31:16.223;;ALM370082276223;2026-03-10 14:30:33.546;49;7000000;550000;550000
108;16;3;200;35990000;500000;reserved;2026-02-26 22:03:15.991;2026-02-26 22:01:15.991;session_1772143244953_fhws2omh1;ALM1082143275991;2026-02-26 22:01:15.991;64;1000000;550000;340000
110;18;3;200;35990000;500000;reserved;2026-03-06 01:54:53.377;2026-03-06 01:52:53.377;session_1772761834198_lbhbzomm4;ALM1102761973377;2026-03-06 01:52:53.377;64;1000000;550000;340000
1;1;1;326.23;18890000;500000;sold;;;;;2026-03-06 14:02:20.499;23;7100000;500000;290000
6;6;1;200;27900000;200000;sold;;;;;2026-03-06 14:03:00.394;43;4300000;550000;300000
9;9;1;200;35990000;500000;sold;2026-02-18 20:04:19.477;2026-02-18 20:02:19.477;session_1771444710776_r7p5pbehb;ALM91444939477;2026-03-10 21:22:52.083;64;1000000;550000;340000
14;14;1;200;35990000;500000;reserved;2026-02-16 06:15:04.284;2026-02-16 06:13:04.284;session_1771222275390_cl0f1mwc2;ALM141222384284;2026-02-16 06:13:04.284;64;1000000;550000;340000
40;40;1;390;43990000;500000;sold;2026-02-18 23:52:55.388;2026-02-18 23:50:55.388;session_1771458502377_pbwszg7bd;ALM401458655388;2026-03-10 21:26:06.354;78;1500000;550000;140000
43;43;1;390;43990000;500000;sold;;;;;2026-03-10 21:27:58.845;78;1500000;550000;140000
84;35;2;390;44990000;500000;available;;;;ALM840158953773;2026-02-11 17:46:24.198;76;3500000;550000;240000
187;56;4;390;44990000;500000;available;;;;ALM1870830609402;2026-02-11 17:46:24.628;76;3500000;550000;240000
41;41;1;390;43990000;500000;sold;2026-02-16 00:40:33.977;2026-02-16 00:38:33.977;session_1771202237702_joi27qgu8;ALM411202313977;2026-03-10 21:29:00.931;77;2000000;550000;190000
5;5;1;200;27900000;500000;sold;;;;;2026-03-06 21:03:37.286;43;4300000;550000;350000
45;45;1;390;35700000;200000;sold;;;;ALM459906575806;2026-03-06 21:05:18.021;52;7300000;550000;350000
58;9;2;200;35990000;500000;reserved;2026-02-23 12:07:14.067;2026-02-23 12:05:14.067;session_1771848144012_xog6i52j1;ALM581848314067;2026-02-23 12:05:14.067;64;1000000;550000;340000
76;27;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.149;63;1500000;550000;390000
170;39;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.562;63;1500000;550000;390000
38;38;1;390;35900000;200000;sold;;;;ALM380142094371;2026-03-06 21:25:56.791;52;7500000;550000;350000
94;2;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.243;63;1500000;550000;390000
39;39;1;390;35900000;1950000;sold;;;;ALM390127820311;2026-03-06 21:29:12.857;57;5000000;550000;100000
69;20;2;200;35990000;500000;reserved;2026-03-16 05:38:48.229;2026-03-16 05:36:48.229;session_1773639383741_b5anyuji7;ALM693639408230;2026-03-16 05:36:48.229;64;1000000;550000;340000
95;3;3;200;35990000;500000;available;;;;;2026-02-11 17:46:24.245;63;1500000;550000;390000
82;33;2;390;44990000;500000;available;2026-02-12 21:34:50.971;2026-02-12 21:32:50.971;session_1770931678237_mwwu6tsw1;ALM820931970971;2026-02-12 21:32:50.971;76;3500000;550000;240000
83;34;2;390;44990000;500000;available;;;;;2026-02-11 17:46:24.194;76;3500000;550000;240000
73;24;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.138;63;1500000;550000;390000
74;25;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.143;63;1500000;550000;390000
75;26;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.146;63;1500000;550000;390000
147;16;4;200;35990000;500000;available;;;;ALM1470229057713;2026-02-11 17:46:24.477;63;1500000;550000;390000
146;15;4;200;35990000;500000;available;2026-02-11 17:48:38.4;2026-02-11 17:46:38.4;session_1770831703706_gxq8koav6;ALM1460831998401;2026-02-11 17:46:38.4;63;1500000;550000;390000
65;16;2;200;35990000;500000;available;2026-02-11 17:58:28.084;2026-02-11 17:56:28.084;session_1770832477473_gxbaogcer;ALM650832588084;2026-02-11 17:56:28.084;63;1500000;550000;390000
77;28;2;211.72;35990000;500000;available;;;;ALM770081103640;2026-02-11 17:46:24.154;63;1500000;550000;390000
60;11;2;200;35990000;500000;available;;;;ALM609912482844;2026-02-16 13:00:07.013;63;1500000;550000;390000
51;2;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.059;63;1500000;550000;390000
61;12;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.093;63;1500000;550000;390000
93;1;3;200;35990000;500000;available;;;;ALM930080659497;2026-02-11 17:46:24.24;63;1500000;550000;390000
96;4;3;200;35990000;500000;available;;;;ALM969880757824;2026-02-11 17:46:24.251;63;1500000;550000;390000
97;5;3;200;35990000;500000;available;;;;ALM979911068288;2026-02-11 17:46:24.256;63;1500000;550000;390000
99;7;3;200;35990000;500000;available;;;;ALM990124944254;2026-02-11 17:46:24.265;63;1500000;550000;390000
140;9;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.448;63;1500000;550000;390000
141;10;4;200;35990000;500000;available;;;;ALM1410158793628;2026-02-11 17:46:24.452;63;1500000;550000;390000
10;10;1;200;35990000;500000;available;;;;ALM100088053228;2026-02-11 17:46:23.851;63;1500000;550000;390000
11;11;1;200;35990000;500000;available;;;;;2026-02-11 17:46:23.855;63;1500000;550000;390000
12;12;1;200;35990000;500000;available;;;;ALM120224643466;2026-02-11 17:46:23.859;63;1500000;550000;390000
55;6;2;200;35990000;500000;available;;;;ALM550125588582;2026-02-11 17:46:24.072;63;1500000;550000;390000
56;7;2;200;35990000;500000;available;;;;ALM560224663831;2026-02-11 17:46:24.077;63;1500000;550000;390000
155;24;4;293.3;35990000;500000;available;;;;ALM1550148517565;2026-02-11 17:46:24.504;63;1500000;550000;390000
57;8;2;200;35990000;500000;available;;;;;2026-02-11 17:46:24.081;63;1500000;550000;390000
152;21;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.494;63;1500000;550000;390000
153;22;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.496;63;1500000;550000;390000
154;23;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.499;63;1500000;550000;390000
157;26;4;200;35990000;500000;available;;;;;2026-02-11 17:46:24.51;63;1500000;550000;390000
151;20;4;200;35990000;500000;available;2026-02-11 17:57:47.638;2026-02-11 17:55:47.638;session_1770832477473_gxbaogcer;ALM1510832547638;2026-02-11 17:55:47.638;63;1500000;550000;390000
131;39;3;390;44990000;500000;available;;;;ALM1310031584991;2026-02-11 17:46:24.41;76;3500000;550000;240000
